provision,status,support,detail,Test Scenario,answer,reason,result,解釋,criteria
5.1-1 ,MC(1),,如果使用密碼並且處於出廠預設設置以外的任何狀態，則所有消費者物聯網設備密碼應為每個設備獨有的或由用戶定義。 ,"問題：當使用密碼且處於出廠預設值（例如「admin」）以外的任何狀態時，所有消費者物聯網裝置密碼應符合下列其中一項：
1. 每個設備都是唯一的。
2. 由使用者定義。請詳細說明密碼是如何建立的。 ",使用者密碼透過wizard由使用者設定且與MAC Address/SN無相關性，且無法反算或暴力計算。,,,密碼是如何建立的,"The verdict PASS is assigned if:        • all consumer IoT device passwords are unique per device when used in any state other than the factory default, that is not defined by the user.        The verdict FAIL is assigned otherwise."
5.1-2,MC(2),,如果每台設備使用預安裝的密碼是獨有的，則應使用一種機制生成這些密碼，以降低對某種或某類設備類型進行自動攻擊的風險。,"預先安裝的每台設備的唯一密碼應透過一種機制生成，該機制可降低針對某一類或類型設備的自動攻擊的風險。
（範例：隨機密碼）。
問題：
1. 使用預先安裝的每台設備唯一密碼時，使用什麼機制來產生密碼？",工廠生產線上的工具為每個設備隨機產生一個密碼，將其寫入設備閃存，然後列印在標籤上，讓使用者開始首次設定程序。,,,預設密碼的產生機制是什麼,"The verdict PASS is assigned if:        • a mechanism is used to generate these passwords, to reduce the risk of automated attacks against a certain or a class of device types.         The verdict FAIL is assigned otherwise."
5.1-3,M,,用以對裝置鑑別使用者之鑑別機制，應使用對技術、風險及使用的性質適切之最佳實務密碼學。,"身份驗證資料在使用者和裝置之間傳輸時應進行加密。
注意：傳輸通常可以在行動應用程式和裝置之間進行。
注意：密碼需要始終受到保護，加密是保護密碼的標準方法。 
如果密碼未加密，則它們可以簡單地讀取（即明文）並且很容易洩漏。（範例：傳輸過程中的密碼保護通常可以透過 TLS/SSL 隧道連線或 VPN 進行）。
問題：1. 當使用者向裝置進行身份驗證時，身份驗證資料在傳輸過程中如何進行加密保護？ ","本機驗證透過 HMAC-SHA256 質詢使用使用者設定的密碼完成。 
透過 HTTPs TLS v1.2 或更新的連線保護通道，cipher  套件符合 FIPS 14--3
雲端管理通訊也透過 TLS v1.2 或更新的連線進行保護，cipher  套件符合 FIPS 14--3。 
設備與雲端之間透過設備證書進行身份驗證。",,,身份驗證資料在傳輸過程中如何進行加密保護,"The verdict PASS is assigned if:        • the authentication method can discriminate between multiple subjects, whether it can reject authentication attempts based on invalid credentials or no proper access rights (effectiveness), and whether it is resistant to an adversary by providing its own security guarantees or rely on the security guarantees provided by an underlying protocol (e.g. TLS).        The verdict FAIL is assigned otherwise."
5.1-4,MC(8),,當使用者可以針對設備進行身份驗證時，設備應向使用者或管理員提供簡單的機制來更改所使用的身份驗證值。,"（範例：密碼或指紋類型的令牌）。

問題：
1. 如果設備允許使用者認證，認證值token是否可以修改？","1. 登入裝置的裝置密碼，可以在app/web介面修改，修改前必須經過管理會話身分認證。
2.雲端管理帳號的使用者密碼可以在App介面修改，修改前必須驗證使用者身分。",,,身份驗證後，驗證值(密碼、token..等)應有簡單的機制來更改所使用的身份驗證值,The verdict PASS is assigned if:        • a simple mechanism is provided to change the authentication value when the user can authenticate to the device.        The verdict FAIL is assigned otherwise.
5.1-5,MC(5),,當裝置係非受限制時，其應具可用之機制，使得經由網路介面暴力攻擊鑑別機制為不切實際。,"當一個設備具有物理上的限制時，可能在數據處理能力、數據通信能力、數據存儲能力或與用戶交互能力上存在局限性。
（例如：限制認證嘗試的次數，或在嘗試之間增加時間間隔；或者客戶端應用程序能夠在有限次數的認證失敗後鎖定帳戶或延遲額外的認證嘗試）。

問題：

如果設備沒有這些限制，該設備是否有防範透過網路介面對認證機制進行暴力破解攻擊的保護措施？",本地認證機制在連續5次錯誤登錄嘗試後鎖定API訪問60秒，這大大延長了暴力破解攻擊的時間。,,,當裝置是非受限時，要可以防止暴力破解,The verdict PASS is assigned if:        • the documented mechanisms make brute force attacks via network interfaces impracticable.         The verdict FAIL is assigned otherwise.
5.2-1,M,,"製造商應公開漏洞公布政策。本政策至少應包括：
報告問題的聯繫資訊;以及關於以下方面的時程表的資訊：
1）收到初始確認;以及 2）狀態更新，直到報告的問題得到解決。","漏洞揭露政策明確規定了安全研究人員和其他人報告問題的流程。 此類政策可以根據需要進行更新，以進一步確保製造商與安全研究人員打交道的透明度和清晰度，反之亦然。        
問題：
1. 設備製造商如何組織漏洞揭露政策？ 製造商是否至少公開了以下資訊：
• 報告問題的聯絡資訊； 和
• 有關時間表的資訊：
1) 初步確認收貨； 和
2) 狀態更新至報告的問題已解決。",通過D-Link 網站（https://support.dlink.com/ReportVulnerabilities.aspx）漏洞通報資訊的聯繫方式向 D-Link 報告安全漏洞，D-Link 會及時分析安全漏洞，如果有必要會向報告者更新安全漏洞的最新狀態。 提供網站通報漏洞郵箱，以接收用戶發現的漏洞，並通過與網站告知使用者漏洞解決進度。,,,關於製造商有沒有公開設備的漏洞資訊,The verdict PASS is assigned if:        • the publication of the vulnerability disclosure policy is available for anybody.        The verdict FAIL is assigned otherwise.
5.2-2,R,,對已揭露之漏洞宜以及時方式採取行動。,"針對漏洞採取行動的「及時方式」差異很大，並且是針對特定事件的；然而，按照慣例，軟體解決方案的漏洞處理過程會在 90 天內完成，包括修補程式的可用性和問題的通知。

問題：
1. 製造商是否有及時的政策來修復已揭露的漏洞？",根據公司規定，D-Link要求高級別風險在一個月內處理完畢，其他等級的風險將提供更新時間表。,,,製造商對於已知露的修補政策,The verdict PASS is assigned if: • the publication of software update support period is understandable and comprehensible for a user with limited technical knowledge. The verdict FAIL is assigned otherwise.
5.2-3,R,,製造者宜於所定義支援期間內，對其銷售及生產，以及所生產之產品及運作的服務，持續監視、識別及矯正安全漏洞。,"此漏洞操作預計將在其定義的支援期內針對產品執行。
（但是，製造商可以在該期限之外繼續此操作並發布安全性更新以糾正漏洞）。

問題：
1. 以下領域有哪些持續監控、識別和修正安全漏洞的策略：
A) 製造商銷售、生產和已生產的產品和服務？
B) 製造商在規定的支援期內提供的服務？","1. D-Link 公司明確規範持續更新維護產品的安全性及功能性，一有相關的漏洞被發現，會即刻進行分析處理，並即時推出修複版本。
2. 產品維護期間，會持續按照規範進行更新修復服務，如產品達到生命週期盡頭，也會早於60天之外提早公告網站資訊，讓使用者可以及早考慮更換機種或其他服務。",,,關於漏洞的修復政策,The verdict PASS is assigned if:        • the publication of software update support period is understandable and comprehensible for a user with limited         technical knowledge.         The verdict FAIL is assigned otherwise.
5.3-1,R,,消費者IoT裝置中之所有軟體組件宜為可安全更新。,"問題：
1. IoT 設備中的所有軟體元件是否都可以安全更新？",D-Link 所有產品的FW都有數位簽章加上加密保護的機制，個別產品更有D-Link額外的認證機制，以保證非官方釋出的文件無法更新在D-Link設備上,,,所有設備應能安全更新其軟體,"The verdict PASS is assigned if:         • each software component is covered by at least one update mechanism, which is simple for the user to apply.         The verdict FAIL is assigned otherwise."
5.3-2,MC(5),,當裝置係非受限制時，其應具用於更新之安全安裝的更新機制。,"如果設備沒有物理上的限制，攻擊者應被防止濫用更新機制。
更新機制可以包括設備直接從遠程服務器下載更新、通過移動應用程序傳輸或通過USB連接傳輸。如果攻擊者破壞了這個機制，則可能在設備上安裝惡意版本的軟件。

（例如：認證的軟件更新服務器、受保護的通信通道、驗證軟件更新的真實性和完整性，以及基於版本檢查的防回滾政策）。

問題：
如果設備不是受限制的設備：

為了確保安全安裝更新，有哪些機制在運行？","1. D-Link 所有產品的FW都有數位簽章加上加密保護的機制，個別產品更有D-Link額外的認證機制，以保證非官方釋出的文件無法更新在D-Link設備上
2. FW 無法降低版本安裝，只能安裝最新版本",,,非受限制的設備的安全更新機制是什麼,The verdict PASS is assigned if:        • at least one update mechanism for the secure installation of software updates exists.        The verdict FAIL is assigned otherwise.
5.3-3, MC(12),,供使用者使用之更新應簡單。,"簡單程度取決於設備的設計和預期用途。
注意：易於應用的更新將自動套用，使用關聯服務（例如行動應用程式）或透過裝置上的 Web 介面啟動。
注意：如果更新難以套用，則會增加使用者重複延遲更新裝置的可能性，使其處於易受攻擊的狀態。

問題：
如果實作更新機制：
1. 更新操作簡單嗎？",消費者等級產品會由程式定時檢查最新版本firmware，會及時通知使用者更新，如使用者當初安裝時有允許自動更新，則會自動幫使用者更新firmware,,,更新步驟應簡單,The verdict PASS is assigned if:        • the publication of software update support period is understandable and comprehensible for a user with limited         technical knowledge.         The verdict FAIL is assigned otherwise.
5.3-4, RC(12),,軟體更新，宜使用自動化機制。,"清晰的管理和部署計劃對製造商有利，對消費者來說更新支援當前狀態的透明度也是如此。
注意：通常建議不要將安全性更新與更複雜的軟體更新捆綁在一起。
範例：功能更新可能會改變設備的預期用途，從而將其變成新設備，從而需要進行新的合格評定。
例：影響有限的軟體更新可以被視為維護更新，不需要新的合格評定。

問題：
如果實作更新機制：
1. 是否使用自動機制？",消費者等級產品會由程式定時檢查最新版本firmware，會及時通知使用者更新，如使用者當初安裝時有允許自動更新，則會自動幫使用者更新firmware,,,軟體更新如果沒有改變設備的預期用途，應使用自動化的機制,"The verdict PASS is assigned if:        • each software component is covered by at least one update mechanism, which is simple for the user to apply.        The verdict FAIL is assigned otherwise."
5.3-5, RC(12),,裝置宜於初始化後核對，再定期核對是否有可用之安全更新。,"注意：對於某些設備，由關聯服務而不是設備來執行此類檢查可能更合適。
範例：可以透過裝置初始化的介面向使用者顯示更新的存在。

問題：
如果實作更新機制：
1. 設備初始化後是否檢查是否有可用的安全性更新？
2. 設備是否定期檢查是否有可用的安全性更新？",消費者等級產品會由程式定時檢查最新版本firmware，會及時通知使用者更新，如使用者當初安裝時有允許自動更新，則會自動幫使用者更新firmware,,,設備在初始化時有沒檢查是否有可用的安全更新,The verdict PASS is assigned if:        • the publication of software update support period is understandable and comprehensible for a user with limited         technical knowledge.         The verdict FAIL is assigned otherwise.
5.3-6,"RC(9,12)",,若裝置支援自動更新及/或更新通知，則其宜於初始化狀態下啟用並可組態設定，以便使用者可啟用、停用或延後安裝安全更新及/或更新通知。,"注意：從消費者權利和所有權的角度來看，使用者可以控制是否接收更新，這一點很重要。

問題：
如果實作更新機制：
如果裝置支援自動更新和/或更新通知：
1. 它們是否在初始化狀態下啟用並在該狀態下可配置？
A) 使用者可以啟用、停用或延遲安裝它們嗎？",消費者等級產品會由程式定時檢查最新版本firmware，會及時通知使用者更新，如使用者當初安裝時有允許自動更新，則會自動幫使用者更新firmware,,,支持自動更新的設備應預設啟用這個功能，用戶可以選擇啟用或停用。,"The verdict PASS is assigned if:        • the device supports automatic update and/or update notifications and they are enabled by default at initialization and can be configured to be enabled, disabled or postponed by the user for security updates and/or update notifications.         The verdict FAIL is assigned otherwise."
5.3-7, MC(12),,裝置應使用最佳實務密碼學，以有助於安全更新機制。,"注意：更新資料需要始終受到保護，加密是保護更新資料的標準方法。如果更新資料未加密，則可以簡單地讀取（即明文）並且很容易受到損害。
所有更新資料在（從伺服器）傳輸到裝置時均應加密。

問題：
如果實作更新機制：
1. 更新資料在傳輸過程中如何進行加密保護？使用哪些加密庫？","1. 每個裝置都嵌入了憑證授權單位公共憑證文件，以驗證 D-Link FOTA（空中韌體）伺服器的合法性，避免中間人或假貨伺服器。
2. D-Link FOTA 伺服器與裝置之間的通訊通道透過 HTTPs TLS v1.2 或更新的連線進行保護，cipher  套件符合 FIPS 14--3
3. D-Link FOTA 伺服器給出的韌體檔案透過以下方式驗證
 A。來自 FOTA 伺服器的韌體檔案的 MD5 校驗和。
 b.嵌入韌體檔案中的憑證簽署二進位檔案。
 C。韌體檔案中嵌入的圖像也是 AES128 加密的二進位形式。",,,設備應使用最好的加密技術來保護更新過程。,The verdict PASS is assigned if: • the publication of software update support period is understandable and comprehensible for a user with limited technical knowledge. The verdict FAIL is assigned otherwise.
5.3-8, MC(12),,安全更新應及時。,"安全更新上下文中的「及時」可能會有所不同，具體取決於特定問題和修復以及其他因素，例如到達設備的能力或受限設備注意事項。
重要的是，製造商應以適當的優先順序處理修復關鍵漏洞（即具有大規模潛在不利影響的漏洞）的安全性更新。

問題：
如果實作更新機制：
1. 一旦偵測到漏洞或問題，部署安全性更新的時間表和流程如何？",消費者等級產品會由程式定時檢查最新版本firmware，會及時通知使用者更新，如使用者當初安裝時有允許自動更新，則會自動幫使用者更新firmware,,,安全更新應及時進行,The verdict PASS is assigned if:        • the publication of software update support period is understandable and comprehensible for a user with limited technical knowledge.        The verdict FAIL is assigned otherwise.
5.3-9,RC(12),,裝置宜查證軟體更新之真確性及完整性。,"確認更新有效的常見方法是驗證其完整性和真實性。
確保設備軟體更新由授權信任實體簽署並使用可接受的加密方法進行加密，並且更新包具有其數位簽章、簽章憑證和簽章憑證鏈，並在更新過程開始之前由裝置進行驗證。
注意：數位簽章是校驗和的一種形式，因為它們提供資料完整性，但它們需要非對稱加密來提供真實性。
注意：受限設備可能具有功率限制，導致執行加密操作的成本高昂。

問題：
如果實作更新機制：
1. 設備能否驗證軟體更新的真實性和完整性？",D-Link 所有產品的firmware都有數位簽章加上加密保護的機制，個別產品更有D-Link額外的認證機制，以保證非官方釋出的文件無法更新在D-Link設備上,,,設備應驗證軟體更新的真實性和完整性,"The verdict PASS is assigned if:        • the verification of authenticity means the demonstration that the software update is not forged, including, in particular, the originality of the software update in regard to its source (manufacturer) and target (DUT).        • the verification of integrity means the demonstration that the software update is not tampered.        The verdict FAIL is assigned otherwise."
5.3-10," MC(11, 12)",,於經由網路介面傳遞更新時，裝置應經由信任關係查證各更新之真確性及完整性。,"注意：有效的信任關係包括：經過驗證的通訊通道、存在於要求設備擁有關鍵安全參數或密碼才能加入的網路、基於數位簽章的更新驗證或使用者確認。
注意：信任關係的驗證對於確保未經授權的實體（例如裝置管理平台或裝置）無法安裝惡意程式碼至關重要。

問題：
如果實施更新機制並透過網路介面傳送更新：
1. 設備如何驗證每次更新的真實性和完整性？
2. 更新使用什麼信任關係？",D-Link 網站的所有通訊，包含firmware檔案的更新作業都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 14--3 的安全強度模組進行，並且會隨時注意最先安全通報，檢查是否現行加密模組是否被發現漏洞，需要時即時更新。,,,設備應在網路傳遞更新時驗證其真實性和完整性。,The verdict PASS is assigned if:        • the DUT can verify the authenticity and integrity of the software update via the network interface.         The verdict FAIL is assigned otherwise.
5.3-11, RC(12),,製造者宜以可辨識且明顯之方式通知使用者，要求安全更新連同關於藉由該更新所減輕風險的資訊。,"問題：
如果實作更新機制：
1. 製造商是否以可辨識且明顯的方式告知使用者：
A) 需要安全性更新嗎？
B) 提供有關該更新減輕的風險的資訊？",firmware的更新通知並無區分此次更新是否為安全性更新，每一次更新的通知都是建議需要更新的。每一次更新都會有更新的內容(包含解決的風險問題以及增強的部分),,,製造商應以明顯的方式通知用戶關於安全更新的資訊。,The verdict PASS is assigned if:        • the notification to the user is recognizable and obvious and contains information about the risk mitigated by the update.         The verdict FAIL is assigned otherwise.
5.3-12,RC(12),,當套用軟體更新，將中斷裝置之基本功能時，裝置宜通知使用者。,"對於消費者而言，設備在更新期間繼續運作可能至關重要，這意味著建議在更新可能會破壞功能時通知使用者非常重要。
注意：如果通知是由關聯服務發出的，則不需要這樣做。
範例：在更新期間，手錶將繼續顯示時間，家用恆溫器將繼續保持合理的溫度，智慧鎖將繼續鎖定和解鎖門。

問題：
如果實作更新機制：
1. 當軟體更新的應用會擾亂設備的基本功能時，設備能否通知使用者？",GUI在更新期間會提示使用者將會重開機.,,,如果更新會中斷設備的基本功能，應通知用戶。,The verdict PASS is assigned if:        • the DUT provides a notification to the user when an update of software components interrupts the basic         functionality of the DUT.         The verdict FAIL is assigned otherwise.
5.3-13,M,,製造商應以對使用者易於理解、透明的方式公開定義的支援期限。,"消費者在購買設備時，希望能明確說明該期限的軟體更新支援。問題：
1. 客戶如何獲知定義的支援期？ 
用戶可以在哪裡找到這些資訊？",產品保固期間都根據當地國家法規要求訂定之，產品生命維護週期到時，會提前60天前公告在產品網頁上。,,,製造商應以透明的方式公開設備的支援期限。,The verdict PASS is assigned if:        • the publication of software update support period is understandable and comprehensible for a user with limited technical knowledge.        The verdict FAIL is assigned otherwise.
5.3-14,"RC(3, 4)",,對無法更新其軟體之受限制裝置，製造者宜以對使用者清晰透通的可存取方式，公布未更新軟體之理由闡述、硬體更換支援的期間及方法，以及定義之支援期間。,"問題：
對於軟體元件不可更新的受限設備，製造商是否有清晰透明的例程向消費者發布以下內容：
1. 沒有軟體更新的原因是什麼？
2. 硬體更換支援的期限和方式？
3. 明確的支持期限？","N/A,The device is not a contrained device. 
",,,製造商應說明無法更新軟體的原因，並提供硬體更換的支援。,The verdict PASS is assigned if:         • the publication of the rationale for absence of updates and hardware replacement support is understandable and comprehensible for a user with limited technical knowledge.         The verdict FAIL is assigned otherwise.
5.3-15,"RC(3,4)",,對無法更新軟體之受限制裝置，產品宜為可隔離且硬體可更換。,"在某些情況下，設備無法修補。
注意：對於受限設備，需要製定更換計劃並明確傳達給消費者。
注意：該計劃通常會詳細說明何時需要更換技術以及何時結束對硬體和軟體的支援（如果適用）。

對於軟體元件不可更新的受限設備，以下內容如何適用：
1. 設備是否可隔離？
2. 硬體可以更換嗎？","N/A,The device is not a contrained device. 
",,,無法更新的設備應能被隔離，並且硬體應可更換。,The verdict PASS is assigned if:        • the product is designed to be isolated and the hardware is replaceable for the constrained devices that cannot be updated.        The verdict FAIL is assigned otherwise.
5.3-16,M,,消費者物聯網設備的型號名稱應通過設備上的標籤或通過實體介面清晰可識別。,問題：1. 使用者如何驗證設備型號名稱（透過設備上的標籤或透過實體介面）？,此產品的型號標籤上有相關的生產編號資訊。,,,設備應有清晰可識別的型號名稱。,The verdict PASS is assigned if:        • the model name of the consumer IoT device is clearly identifiable through labels on the device or through a physical interface.        The verdict FAIL is assigned otherwise.
5.4-1,M,,持久存儲中的敏感安全參數應由設備安全的存儲。,"安全、可信任的儲存機制可用於保護敏感的安全參數。注意：此規定適用於持久性儲存（在裝置電源關閉後保留資料的任何資料儲存裝置），但製造商也可以對記憶體中的敏感安全參數實施類似的方法。

問題：當設備有持久性儲存時：1. 設備如何確保敏感安全參數安全儲存？",所有關鍵機敏資訊都以AES 128 加密演算法處理存儲在機器的flash中。,,,敏感的安全參數要安全的持久性儲存,The verdict PASS is assigned if:        • the sensitive security parameters in persistent storage are stored securely.        The verdict FAIL is assigned otherwise.
5.4-2, MC(10),,對安全目的，於裝置中使用硬編碼唯一之每裝置識別資訊時，應以防止藉由實體、電氣或軟體等方式竄改的方式實作。,"問題：
如果出於安全目的使用硬編碼的每個設備唯一識別：
1. 身分如何實現以及如何實現以防止身分被竄改？
A. 設備如何抵抗物理、電氣或軟體等手段的篡改？",出廠預設密碼不是硬編碼的，因為它是出廠設定參數的一部分並且不是預先寫入程式碼中的。 即使工廠型號和韌體相同，此參數對於每台機器來說都是不同的硬編碼。這與 MAC 位址的原因相同。,,,設備中使用硬編碼嵌入的每裝置的獨特識別資訊如何防止被竄改。,"The verdict PASS is assigned if:        • the control measure 5.4-2 is implemented in a way that prevents modification of the unique per-device         identification information through physical, electrical or software means.         The verdict FAIL is assigned otherwise."
5.4-3,M,,關鍵安全參數不得硬編碼於使用設備軟體原始碼中。,設備和應用程式的逆向工程可以輕鬆發現憑證，例如軟體中硬編碼的使用者名稱和密碼。注意：此類憑證通常可以在原始程式碼中找到，這是眾所周知的不良做法。注意：也用於模糊或加密此硬編碼訊息的簡單混淆方法可能會被輕易破壞。這些憑證還可以是：- 允許在遠端服務中使用安全敏感功能的 API 金鑰，或者- 用於裝置通訊協定安全的私鑰。問題：1. 是否使用了軟體原始碼中硬編碼的關鍵安全參數？,D-Link 產品都會經過縝密的源碼安全檢查掃描，以確保沒有相關的 Hard-coded critical security parameters 在程式中,,,關鍵的安全參數不能硬編碼在設備軟體中。,"The verdict PASS is assigned if: • there is no indication that any critical security parameter hard-coded in device software source code is not documented as such; and • for all critical security parameter hard-coded in device software source code, the ""Provisioning Mechanism"" ensures that it is not used during the operation of the DUT. The verdict FAIL is assigned otherwise."
5.4-4,M,,用於軟體更新的完整性和真實性檢查，以及保護設備軟體中相關服務的通訊的任何關鍵安全參數應為每個設備獨有，並且應具有降低對設備類別進行自動攻擊風險的機制。,"為設備配置獨特的關鍵安全參數有助於保護軟體更新的完整性和真實性以及設備與相關服務的通訊。如果使用全球關鍵安全參數，其洩漏可能會導致對其他物聯網設備的大規模攻擊，例如建立殭屍網路。
範例：在同一裝置類別的每個裝置上部署不同的對稱金鑰，用於產生和驗證軟體更新的訊息認證碼。
範例：設備使用製造商的公鑰來驗證軟體更新。 這不是關鍵的安全參數，並且不需要每個設備都是唯一的。

問題：
對於設備中用於以下用途的任何關鍵安全參數：
- 軟體更新的完整性和真實性檢查
；- 保護與設備軟體中相關服務的通訊：
1. 這些關鍵安全參數是：
A) 每個設備都是唯一的？B) 採用可降低針對各類設備的自動攻擊風險的機制進行生產？","D-Link Cloud 管理通訊使用每個設備唯一的設備證書，在設定過程中進行配置。
管理和設定通道始終透過 TLS v1.2 或更新的連線進行保護，cipher  套件符合 FIPS 14--3。
伺服器證書還可以透過設備的嵌入式證書頒發機構文件進行驗證。",,,用於軟體更新和通訊的安全參數應是每台設備獨特的。,The verdict PASS is assigned if:        • integrity and authenticity checking for software updates and protecting any key security parameter in the         device software related to the services are unique for each device and have mechanisms to reduce the risk of         automatic attacks against the device class.         The verdict FAIL is assigned otherwise.
5.5-1,M,,消費者物聯網設備應使用最佳實踐加密技術進行安全通訊。,安全控制的適當性和最佳實踐加密的使用取決於許多因素，包括使用情境。注意：由於安全性不斷發展，很難提供有關密碼學或其他安全措施的規範性建議，而不會面臨此類建議很快就會過時的風險。問題：1. 消費者物聯網設備使用什麼最佳實踐加密技術來安全通訊？,D-Link 網站的所有通訊，包含FW檔案的更新作業都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 14--3 的安全強度模組進行，並且會隨時注意最先安全通報，檢查是否現行加密模組是否被發現漏洞，需要時即時更新。,,,設備應使用最佳的加密技術進行安全通訊。,The verdict PASS is assigned if:        • all communication mechanisms used for communicating critical security parameters provide appropriate security guarantees for the use case of communicating critical security parameters; and        • all used cryptographic details are considered as best practice for the use case; and        • all used cryptographic details are not known to be vulnerable to a feasible attack.        The verdict FAIL is assigned otherwise.
5.5-2,R,,消費者 IoT 裝置宜使用經審查或經評估之實作，交付網路功能性及安全功能性，特別是密碼學領域。,"例如：開發和測試社群內的分散式軟體庫、經過認證的軟體模組以及硬體設備加密服務提供者都經過審查或評估。

問題：
1. 消費者物聯網設備是否使用經過審查或評估的實施來提供網路和安全功能？
A）特別是在密碼學領域？",D-Link產品使用的加密套件都是目前安全無漏洞的版本，並隨時按照相關漏洞的發佈，需要時即時換版更新加密套件。,,,設備應使用經過審查或評估的加密技術。,"The verdict PASS is assigned if:        • the consumer IoT device uses audited or evaluated implementations for network functionality and security functionality, particularly in the cryptographic domain.        The verdict FAIL is assigned otherwise."
5.5-3,R,,密碼演算法及基元宜為可更新。,"對於無法更新的設備，重要的是設備的預期壽命不超過設備使用的加密演算法的建議使用壽命（包括金鑰大小）。
注意：這也稱為“加密敏捷性”。

問題：
1. 密碼演算法和原語是否可以更新？",D-Link產品使用的加密套件都是目前安全無漏洞的版本，並隨時按照相關漏洞的發佈，需要時即時換版更新加密套件。,,,加密演算法應可更新。,The verdict PASS is assigned if:        • for every software component indicating cryptographic usage an update mechanism is referenced; and        • side effects of updating those algorithms and primitives are considered by the manufacturer.        The verdict FAIL is assigned otherwise.
5.5-4,R,,宜僅於鑑別介面後，方可經由網路介面於初始化狀態存取裝置功能性。,"注意：設備可能會因網路服務中的漏洞而受到損害。合適的身份驗證機制可以防止未經授權的訪問，並有助於設備的縱深防禦。

問題：
對於處於初始化狀態的網路介面：
1. 是否確保只有在該介面上進行身份驗證後才能透過該介面存取設備功能？","措施：
裝置初始狀態下，登入管理介面的唯一方式是使用裝置背面貼圖上的預設密碼。登入後，您將被迫按照步驟開始設定裝置的連線資訊並變更預設登入密碼。
預設情況下，WAN 遠端管理也處於停用狀態。
其他未定義的服務連接埠均關閉，機器的實體網口（LAN）僅是預設功能，可透過DHCP連接，即使初始化尚未完成。",,,只有在通過身份驗證後才能存取設備功能。,The verdict PASS is assigned if:        • at least one authentication mechanism is referenced for every device functionality accessible via network interface in the initialized state; and        • every authentication mechanism allows to discriminate between multiple authentication subjects and to reject authentication attempts based on invalid identities and/or authentication factors; and        • the means used to protect an authentication mechanism provide the expected security guarantees and are resistant at attempts to compromise the mechanism; and        • every authorization mechanism allows access to authenticated subjects with proper access rights; and        • every authorization mechanism denies access to authenticated subjects with inadequate access rights and to unauthenticated subjects.        The verdict FAIL is assigned otherwise.
