provision,status,support,detail,Test Scenario,answer,reason,result,解釋,criteria
5.5-5,M,,設備功能只有在認證存取之後允許透過網路介面進行配置安全相關修改。例外情況是設備所依賴的網路服務協定，製造商無法保證設備運行所需的配置。,注意：例外的協定包括 ARP、DHCP、DNS、ICMP 和 NTP。範例：與安全性相關的變更包括權限管理、網路金鑰配置和密碼變更。規定例外：設備所依賴的網路服務協定除外，製造商無法保證設備運作需要什麼配置。問題：當規定例外情況不適用時：當設備功能允許透過網路介面對組態進行與安全相關的變更時：A) 如何確保只有在驗證後才能存取設備功能？,D-Link 網站的所有通訊，包含FW檔案的更新作業都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 14--3 的安全強度模組進行，並且會隨時注意最先安全通報，檢查是否現行加密模組是否被發現漏洞，需要時即時更新。,,,只有在認證後才能通過網路修改設備的安全設置，除非設備依賴的協定無法保證運行所需配置。,The verdict PASS is assigned if:        • the device functionality allowing security-relevant changes is accessible only after authentication.         The verdict FAIL is assigned otherwise.
5.5-6,R,,傳輸中之關鍵安全參數宜以適切的技術、風險及使用性質之方式加密。,"此要求主要適用於：
- 設備製造商、物聯網服務供應商、行動應用程式開發商。
關鍵安全參數：
- 安全敏感數據，包括任何遠端管理和控制。
注意：強烈鼓勵使用開放的、經過同儕審查的網路標準。
範例：Blowfish、AES、RC4、DES、RC5 和 RC6 是對稱加密的範例。最廣泛使用的對稱演算法是 AES-128、AES-192 和 AES-256。
範例：流行的非對稱金鑰加密演算法包括 EIGamal、RSA、DSA、橢圓曲線技術、PKCS。
範例：SSL/TLS 同時使用非對稱和對稱加密，快速查看由受信任的憑證授權單位 (CA) 頒發的數位簽章 SSL 憑證。

問題：
如果關鍵安全參數在傳輸過程中被加密（在傳輸網路時）：
1. 加密是否適合技術、風險和用途的特性？","1. 本機身分驗證透過 HMAC-SHA256 Challenge 使用使用者設定的密碼完成。透過 HTTPs TLS v1.2 或更新的連線保護通道，cipher  套件符合 FIPS 14--3
2. 雲端管理通訊也透過 TLS v1.2 或更新的連線進行保護，cipher  套件符合 FIPS 14--3。 設備與雲端之間透過設備證書進行身份驗證。 」",,,傳輸中的關鍵安全參數應加密。,"The verdict PASS is assigned if: • the transmission of security parameters is encrypted in a way that is appropriate for the technical, risk and usage context. The verdict FAIL is assigned otherwise."
5.5-7,M,,消費者物聯網設備應保護透過遠端存取網路介面的關鍵安全參數的機密性。,可以使用加密的通訊通道或有效負載加密來實現機密性保護。注意：加密保護通常是使用至少與傳輸的密鑰材料一樣強大的協定或演算法來完成的，但是也可以使用其他緩解措施，例如需要特殊的接近度。問題：透過遠端可存取的網路介面傳送關鍵安全參數時：1. 如何確保消費性物聯網設備保護這些參數的機密性？,D-Link 網站的所有通訊，包含FW檔案的更新作業都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 14--3 的安全強度模組進行，並且會隨時注意最先安全通報，檢查是否現行加密模組是否被發現漏洞，需要時即時更新。,,,設備應保護通過遠端網路介面傳輸的關鍵安全參數。,The verdict PASS is assigned if:        • the protection of confidentiality of key security parameters accessible via network interface is ensured.         The verdict FAIL is assigned otherwise.
5.5-8,M,,製造商應遵循與設備相關的關鍵安全參數的安全管理流程。,注意：對關鍵安全參數使用開放的、同儕審查的標準（通常稱為「金鑰管理」）受到強烈鼓勵。問題：當關鍵安全參數與設備相關時：1. 製造商是否遵循安全管理流程？如何管理關鍵安全參數（用於金鑰管理，例如金鑰交換、金鑰儲存和金鑰使用）？,"按照D-Link的秘鑰管理流程生成、存儲和傳輸安全參數。 安全參數隨機生成后，寫入到設備中，同時自動同步到伺服器，操作人員不感知密碼，與設備硬體參數進行哈希後才會用於認證和加解密。當產品EOL之後, 我們會從git server移除相關的key, 並且將他們離線存放",,,製造商應遵循設備相關的關鍵安全參數管理流程。,The verdict PASS is assigned if:        • the manufacturer follows a secure management process related to the key security parameters of the Device.         The verdict FAIL is assigned otherwise.
5.6-1,M,,應禁用所有未使用的網路和邏輯介面。,範例：預設情況下，無法從 WAN 存取應從 LAN 存取的管理 UI。注意：邏輯介面 (LIF) 是由 IP 位址組成的軟體實體，該 IP 位址與許多屬性（例如角色、主連接埠、防火牆策略、主節點、路由組和連接埠清單）相關聯。用於故障轉移目的。問題：1. 如何確保停用所有未使用的網路和邏輯介面？,"有一個 LAN 的乙太網路、2.4G 和 5G Wi-Fi 接口，需要在設備使用過程中運行，以根據設備的意圖使用提供互聯網訪問。

沒有其他接口沒有被使用過。",,,應禁用所有未使用的網路和邏輯介面。,The verdict PASS is assigned if:        • all unused network and logical interfaces are disabled.        The verdict FAIL is assigned otherwise.
5.6-2,M,,在初始化狀態下，設備的網路介面應盡量減少未經身份驗證的安全相關訊息洩露。,安全相關資訊可以在建立連接時由設備共享，並可用於識別易受攻擊的設備。範例：在整個 IP 位址空間中尋找易受攻擊的裝置時，安全相關資訊可以是有關裝置配置、核心版本或軟體版本的資訊。問題：當設備處於初始化狀態時：1. 設備的網路介面如何確保最大限度地減少未經身份驗證的安全相關資訊的洩漏？,"在初始化階段，在首次設定驗證之前，僅
1. mDNS僅包含用於APP設定引導和認證所需的資訊。",,,設備的網路介面應減少未經身份驗證的安全相關資訊洩露。,"The verdict PASS is assigned if:        • for every network interface in the initialized state, the device functionality accessible via the network interface does not reveal security-relevant information before authentication.         The verdict FAIL is assigned otherwise."
5.6-3,R,,裝置硬體不宜將實體介面非必要暴露於攻擊。,"攻擊者可以使用實體介面來破壞設備上的韌體或記憶體。
注意：「不必要」是指製造商對用於使用者功能或調試目的的開放介面的好處的評估。
範例：僅用於為裝置供電的微型 USB 連接埠應進行實體配置，以免也允許命令或偵錯操作。

問題：
1. 設備硬體不會不必要地將實體介面暴露給攻擊嗎？","調試串列埠應去除MP已有的PIN碼。 。 即使使用特殊太觸板點，也只需要特殊命令或獨特的訪問act/pwd即可訪問，而輸入功能僅用於方便研發調試。這些特殊命令只有公司內部人士知道。

板上不會不必要地暴露實體介面。",,,設備硬體不應暴露不必要的攻擊介面。,The verdict PASS is assigned if:        • the physical interfaces of the DUT are not unnecessarily exposed to an attacker.        The verdict FAIL is assigned otherwise.
5.6-4, MC(13),,若除錯介面係可實體存取，則應於軟體中停用。,"範例：透過裝置上的引導程式軟體停用 UART 串​​列介面。由於此停用，沒有登入提示，也沒有可用的互動式功能表。

問題：
當調試介面可物理存取時：
1. 軟體中是否禁用了調試介面？","調試串列埠應去除MP已有的PIN碼。 。 即使使用專用工具觸摸板子上的點，也只需要特殊的命令或唯一的訪問act/pwd即可訪問，並且輸入功能僅用於方便研發調試。這些特殊命令只有公司內部人士知道。


板上不會不必要地暴露實體介面。",,,如果除錯介面可被實體存取，應在軟體中停用。,"The verdict PASS is assigned if:        • for every accessible physical debug interface, there is a software mechanism described to disable the interface;         and         • for every accessible physical debug interface that is not indicated as intermittently required, the interface is permanently disabled;         and         • for every accessible physical debug interface that is indicated as intermittently required, the interface is disabled by default.         The verdict FAIL is assigned otherwise."
5.6-5,R,,對裝置之預期用途或運作，製造者宜僅啟用其所使用或所要求的軟體服務。,"範例：製造商不會為設備提供預期用途不需要的任何後台進程、核心擴充、命令、程式或工具。

問題：
1. 製造商是否僅啟用設備預期用途或操作所使用或所需的軟體服務？",所有服務均需設備購買意向,,,製造商應僅啟用所需的軟體服務。,The verdict PASS is assigned if:        • the manufacturer has only enabled the software services that are used or required for the intended use or operation of the device.        The verdict FAIL is assigned otherwise.
5.6-6,R,,程式碼宜最小化服務/裝置運作所必要之功能性。,"範例：「死」或未使用的程式碼應被刪除且不被視為良性。

問題：
1. 程式碼是否會最小化到服務/設備運作所需的功能？",是的，所有不必要的功能代碼都不應該存在或被停用。所有版本的D-Link FW必須通過程式碼安全掃描和檢查，並通過黑盒安全測試和漏洞掃描後才能發布韌體。,,,程式碼應最小化至必要的功能。,"The verdict PASS is assigned if:        • for every enabled by default software service, the service is necessary for the intended use or operation of the DUT.        The verdict FAIL is assigned otherwise."
5.6-7,R,,軟體宜以最小必要特殊權限運行，同時考量安全及功能性。,"軟體應以適當的權限運作。
範例：沒有守護程式/程式以“root”權限運行。
這種風險可以透過以下方式降低：
- 可以透過堆疊金絲雀、ASLR 等機制來緩解旨在破壞記憶體的裝置軟體攻擊。
- 製造商可以使用可用的平台安全功能來幫助進一步降低風險。
- 減少它們運行的權限並最小化程式碼也有助於減輕這種風險。

問題：
1. 軟體是否會以最少的必要權限運作？
A) 兼顧安全性與功能性？",D-Link 設備僅有一個管理帳號admin來設定DUT，無法產生額外的帳號與相關的功能，而這個帳號的登入都經過安全的管控，已出廠唯一預設密碼初始登入，之後會強制修改密碼。,,,軟體應以最小必要權限運行，同時考量安全和功能性。,The verdict PASS is assigned if: • the means used to protect an authentication mechanism provide the expected security guarantees and are resistant at attempts to compromise the mechanism. The verdict FAIL is assigned otherwise.
5.6-8,R,,裝置宜納入用於記憶體之硬體層級存取控制機制。,"軟體漏洞通常利用記憶體中缺乏存取控制來執行惡意程式碼。存取控制機制限制了設備記憶體中的資料是否可以被執行。合適的機制包括 MMU（記憶體管理單元）或 MPU、可執行空間保護（例如 NX 位元）、記憶體標記和可信任執行環境等技術。

問題：
1.設備是否有硬體級的記憶體存取控制機制？","有, CPU有內建MMU.",,,設備應納入用於記憶體的硬體層級存取控制機制。,"The verdict PASS is assigned if:        • for every hardware-level access control mechanism for memory, the mechanism is implemented at the level of the hardware; and        • for every hardware-level access control mechanism for memory, the mechanism allows to control access to memory.        The verdict FAIL is assigned otherwise."
5.6-9,R,,製造者宜依循安全開發過程，部署於裝置上之軟體。安全開發過程，包括使用版本控制或啟用與安全相關之編譯器選項(例：堆疊保護)，能協助確保軟體產出更安全。製造者於使用支援之工具鏈時，可使用此等選項。,"安全的開發過程，包括使用版本控製或啟用與安全相關的編譯器選項（例如堆疊保護）可以幫助確保軟體製品更加安全。製造商可以在使用支援它們的工具鏈時使用這些選項。

問題：
1. 製造商是否遵循設備上部署的軟體的安全開發流程？",Yes， D-Link 產品生命週期都是在IEC 62443-4-1的規範下進行研發，並且每年進行內部稽核程序，每2年延請外部獨立機構進行稽核，確認產品的研發過程與生命週期管理都是符合規範的。附件：IEC62443-4-1 Dlink Certificate_copy.pdf,,,製造商應依循安全開發過程，包括使用版本控制和編譯器選項。,"The verdict PASS is assigned if:        • for every hardware-level access control mechanism for memory, the mechanism is implemented at the level of         the hardware; and         • for every hardware-level access control mechanism for memory, the mechanism allows to control access to         memory.         The verdict FAIL is assigned otherwise."
5.7-1,R,,消費者 IoT 裝置宜使用安全啟動機制查證其軟體。,"注意：硬體信任根是提供強證明作為安全啟動機制一部分的一種方法：
- 硬體信任根是系統的一個元件，所有其他元件都從中獲得「信任」 - 即加密的來源
對該系統的信任。
- 為了實現其功能，硬體信任根是可靠的並且能夠抵抗物理和邏輯篡改，因為沒有機制可以確定組件是否發生故障或被更改。

問題：
消費者物聯網設備使用什麼來透過安全啟動機制驗證其軟體？",在bootloader中對執行的固件進行校驗，校驗不過的程式不能啟動。,,,設備應使用安全啟動機制驗證其軟體。,The verdict PASS is assigned if:        • the DUT is able to verify the authenticity and integrity of software updates.         The verdict FAIL is assigned otherwise.
5.7-2,R,,若偵測出對軟體之未經授權的變更，則裝置宜對使用者及/或管理者發出警示，且不宜連接至比執行警示功能所必要之網路更廣的網路。,"例：房間內的恆溫器可以有使用者模式；此模式可防止更改其他設定。如果偵測到對軟體進行未經授權的更改，則向管理員發出警報是適當的，因為管理員有能力根據警報採取行動（而使用者則沒有）。
注意：如果設備無法成功執行此操作或攻擊者能夠重複造成這種影響，則強制設備恢復到已知良好狀態的攻擊可能會帶來 DoS 風險。

問題：
如果偵測到對軟體進行未經授權的變更：
1. 設備會提醒消費者註意該問題嗎？
2. 設備會向管理員發出此問題的警報嗎？
3. 設備是否不會連接到比執行警報功能所需的網路更廣泛的網路？

如果沒有實現，那麼為什麼沒有實現（詳細說明）？",所有的修改都會檢查授權，通過才可操作。,,,如果檢測到未經授權的變更，設備應警示用戶，且不應連接到更廣的網路。,The verdict PASS is assigned if:         • the designated entity is alerted and communication of the DUT is restricted to that which is absolutely necessary for the alerting function.         The verdict FAIL is assigned otherwise.
5.8-1,R,,宜使用最佳實務密碼學保護於裝置與服務間傳輸之個人資料的機密性，特別是相關聯服務。,"問題：
1. 設備和服務（尤其是相關服務）之間傳輸的個人資料的機密性是否會受到最佳實踐加密技術的保護？",D-Link 除了登入的帳號密碼之外，不會存儲有關個人隱私資料。,,,應使用最佳加密技術保護設備和服務間傳輸的個人資料。,The verdict PASS is assigned if: • the confidentiality of personal data transmitted between devices and services is protected by cryptographic means that are considered best practice for the use case; and • the cryptographic means are appropriate to achieve the security guarantees with respect to the use case. The verdict FAIL is assigned otherwise.
5.8-2,M,,設備和相關服務之間通訊的敏感個人資料的機密性應受到保護，並採用適合該技術和使用情境的加密方法。,開展安全和資料保護影響評估可以幫助製造商做出適當的選擇。注意：「敏感個人資料」是指揭露後極有可能對個人造成傷害的資料。 被視為「敏感個人資料」的內容因裝置和用例而異：範例：家庭安全攝影機的視訊串流、支付資訊、通訊資料內容和帶時間戳記的位置資料。注意：此上下文中的關聯服務通常是雲端服務。 此外，這些服務受到製造商的控製或影響。 這些服務通常不由使用者操作。問題：應保護設備和相關服務之間傳輸的敏感個人資料的機密性：1. 在密碼學適合技術和用途的屬性的情況下，使用什麼密碼學？,"設備上不會保存任何個人隱私資料。
使用 TLS、HTTPS。
加密演算法包括：
AES、RSA、MD5、SHA256",,,設備和服務間的敏感個人資料應加密保護。,The verdict PASS is assigned if:        • the confidentiality of sensitive personal data is protected when communicated between devices and related services.         The verdict FAIL is assigned otherwise.
5.8-3,M,,設備的所有外部感測功能應以易於理解和透明的方式進行文件化，以供使用者方便查閱。,範例：外部感測功能可以是光學或聲學感測器。（本文件第 6 條（消費者物聯網的資料保護條款）包含專門用於保護個人資料的條款。）問題：1. 如何確保設備的所有外部感測功能都以對使用者清晰透明的可存取方式記錄？,無外部感測能力,,,設備的所有外部感測功能應以透明的方式進行文件化。,The verdict PASS is assigned if:        • the documentation of all external sensor functionalities of the device is understandable and comprehensible for a user with limited technical knowledge.        The verdict FAIL is assigned otherwise.
5.9-1,R,,宜於消費者 IoT 裝置與服務中建立韌性，考量資料網路與電源中斷之可能性。,"注意：預計必要的彈性等級是成比例的，並由使用情況決定，並考慮到依賴系統、服務或設備的其他人，因為中斷可能會產生比預期更廣泛的影響。

問題：
考慮到數據網路和電力中斷的可能性：
1. 消費者物聯網設備和服務是否會內建彈性？","A: Router本身沒有電池, 電力中斷就會停止運作. NAT Router是網路節點, 停止運作的時候所有透過它對外的網路都會中斷. 如果需要保有彈性, 則必須在使用者端對網路架構做相應的設計.",,,設備應考量資料網路與電力中斷的情況，建立韌性。,"The verdict PASS is assigned if:        • the resilience mechanisms are appropriate to protect against network connectivity and power outages according         to the ""Security Guarantees"".         The verdict FAIL is assigned otherwise."
5.9-2,R,,消費者 IoT 裝置於失去網路接取權之情況下，宜保持運作及本地功能性，且宜於斷電復原的情況下澈底復原。,"注意：「乾淨地恢復」通常涉及以相同或改進的狀態恢復連接和功能。

問題：
在網路遺失的情況下：
1. 消費者物聯網設備是否會繼續運作並在本地運作？
在斷電恢復的情況下：
2.消費性物聯網設備會完全恢復嗎？","1) 對外網路中斷時, LAN功能依舊會運作.
2) 電力中斷會導致設備停止運作, 但是當電力恢復時設備也會立刻恢復運作.",,,設備在失去網路連線時應保持運作及本地功能。,The verdict PASS is assigned if:        • the IoT device maintains functionality and local operability in the event of loss of network connectivity; and        • the IoT device properly recovers from power failure.         The verdict FAIL is assigned otherwise.
5.9-3,R,,消費者 IoT 裝置宜以預期可操作且穩定之狀態，並以有秩序的方式連接至網路，同時考量基礎設施之能力。,"注意：消費者依賴物聯網系統和設備來實現日益重要的與安全相關或影響生活的用例。如果網路中斷，保持服務在本地運作是提高彈性的措施之一。
注意：有序重新連線意味著採取明確的步驟來避免來自大量 IoT 裝置的同時請求，例如軟體更新或重新連線。這種顯式步驟可以包括根據增量退避機制在重新連接嘗試之前引入隨機延遲。
例如：智慧家庭在斷電後失去了與網路的連線。當網路連接恢復時，家庭中的設備會在隨機延遲後重新連接，以最大限度地減少網路使用率。
範例：提供更新後，製造商會大量通知設備，以防止它們同時下載更新。
注意：其他措施可以包括在相關服務中建置冗餘以及緩解分散式阻斷服務 (DDoS) 攻擊或訊號風暴。

問題：
考慮基礎設施的能力：
1. 消費者物聯網設備是否會以預期、可運作且穩定的狀態連接到網路？
2）消費者物聯網設備是否會有序地連接到網路？","1) 是, 軟體的執行有固定的執行順序.
2) 以FOTA update為例, 設備在運作時, 已經預設了當地時間03:30會執行一次檢查並下載. 但是在軟體設計的時候有考慮到分散負載, 所以會在執行時加上一個隨機的等候時間.",,,設備應以穩定狀態連接網路，考量基礎設施的能力。,"The verdict PASS is assigned if:        • the IoT device is in a predictable and stable state when connecting to the network, taking into account the         capabilities of the underlying infrastructure.         The verdict FAIL is assigned otherwise."
5.10-1, RC(6),,若蒐集由消費者 IoT 裝置及服務蒐集遙測資料(諸如使用及量測資料)，則宜檢查安全是否異常。,"注意：設備可以感知設備遙測資料中的異常狀況。設備可以檢測時間序列資料中的尖峰和低谷、正趨勢和負趨勢、水平變化以及值的動態範圍的變化。異常可以根據需要進行客製化和訓練。

問題：
如果遙測資料是從消費者物聯網設備和服務收集的，例如使用情況和測量資料：
1.是否會進行安全異常檢查？",,,,如果蒐集遙測資料，應檢查安全是否異常。,The verdict PASS is assigned if:        • the collection of operational and measurement data from consumer IoT devices and services is checked for security anomalies.         The verdict FAIL is assigned otherwise.
5.11-1,M,,應提供使用者功能，以便使用者能夠輕鬆地從設備中刪除其資料。,注意：本文中的使用者資料是指儲存在物聯網裝置上的所有個人數據，包括個人資料、使用者配置和加密資料，例如使用者密碼或金鑰。問題：1. 如何提供消費者能夠以簡單的方式輕鬆從設備中刪除使用者資料的功能？,"對於設備本身的數據，可以透過以下步驟完成完整的資料擦除：
1. 硬體重設按鈕
2. APP的裝置移除按鈕
3. WebGUI的設備重置按鈕
對於雲端帳戶，可以透過給定的帳戶入口網站從 APP 下載或刪除資料。",,,應提供用戶刪除其資料的功能。,The verdict PASS is assigned if:        • a user can easily delete their data from the device using a provided functionality.        The verdict FAIL is assigned otherwise.
5.11-2,R,,宜向消費者提供裝置上之功能性，以便能以簡單方式由相關聯服務中移除個人資料。,"注意：此類功能適用於所有權轉讓、消費者希望刪除個人資料、消費者希望從設備中刪除服務和/或消費者希望處置設備時的情況。預計此類功能符合適用的資料保護法，包括 GDPR。
注意：「輕鬆」刪除個人資料意味著完成該操作所需的步驟最少，並且每個步驟的複雜性最小。
注意：此類功能可能會成為攻擊媒介。

問題：
1. 設備上是否為消費者提供了可以透過簡單方式從相關服務中刪除個人資料的功能？",D-Link 除了登入的帳號密碼之外，不會存儲有關個人隱私資料。,,,應向用戶提供移除個人資料的簡單方法。,The verdict PASS is assigned if:        • the publication of software update support period is understandable and comprehensible for a user with limited         technical knowledge.         The verdict FAIL is assigned otherwise.
5.11-3,R,,宜對使用者明確說明如何刪除其個人資料。,"問題：
1. 是否會向消費者明確說明如何刪除其個人資料？",D-Link 除了登入的帳號密碼之外，不會存儲有關個人隱私資料。,,,應明確說明如何刪除個人資料。,The verdict PASS is assigned if:        • the deletion functionality is covered by the documentation; and        • the deletion functionality is documented in a concise manner and includes the necessary steps to be taken to delete personal data.        The verdict FAIL is assigned otherwise.
5.11-4,R,,宜對使用者清楚確認個人資料已由服務、裝置及應用程式中刪除。,"消費者物聯網設備經常會改變所有權，最終會被回收或處置。可以提供允許消費者保持控制並從服務、設備和應用程式中刪除個人資料的機制。當消費者希望完全刪除其個人資料時，他們也希望追溯刪除備份副本。
例如：使用者可以在租用的公寓內臨時使用消費者物聯網設備。對設備進行出廠重置可能會刪除配置設定或停用設備，從而損害公寓業主和未來的用戶。恢復原廠設定（從 IoT 裝置中刪除所有資料）並不是在此類共用使用上下文中刪除單一使用者的個人資料的適當方法。
注意：ETSI EN 303 645 的附錄 A 包含設備狀態的範例模型，包括每個狀態的資料儲存。
注意：從裝置或服務中刪除個人資料通常不能簡單地透過將裝置重設回出廠預設狀態來實現。在許多用例中，消費者不是裝置的擁有者，但希望從裝置和所有相關服務（例如雲端服務或行動應用程式）中刪除自己的個人資料。

問題：
1. 是否會向消費者明確確認個人資料已被刪除？
A) 來自服務？
B) 來自設備？
C) 來自應用程式？","A: 此設備不會自動記錄使用者資訊.
使用者操作APP時註冊的帳號, 可透過GUI移除.",,,應確認個人資料已從服務、設備和應用中刪除。,The verdict PASS is assigned if:        • every deletion functionality is covered by the documentation; and        • is documented in a concise manner and includes the necessary steps to be taken to delete personal data.         The verdict FAIL is assigned otherwise.
5.12-1,R,,消費者 IoT 裝置之安裝及維護宜由使用者做最少決定，且宜依循有關可用性的安全最佳實務作法。,"注意：這是為了防止消費者混淆或配置錯誤引起的安全問題，有時是由於使用者介面的複雜性和不良或不明確的設計引起的。

問題：
消費性物聯網的安裝與維護：
1. 涉及用戶的決策最少？
2. 遵循可用性方面的安全最佳實務？","A: 目前的GUI設計極為精簡, 使用者能設定的範圍並不大.",,,設備的安裝和維護應由使用者做最少決定，並遵循安全最佳實踐。,The verdict PASS is assigned if:        • the installation and maintenance of the consumer IoT device is done with minimal user decisions and follows security best practices for usability.        The verdict FAIL is assigned otherwise.
5.12-2,R,,製造者宜提供使用者有關如何安全設置其裝置之指引。然而理想之過程為涉及最少人工介入，並自動達成安全組態。,"注意：但是，理想的情況是涉及最少人工幹預並自動實現安全配置的過程。

問題：
1. 製造商是否會提供使用者如何安全設定設備的指導？","A: 設備出廠的預設值已經預設為NAT模式, 使用者直接使用即可擁有基本的安全性. 使用介面都使用精簡方式 引導使用者安裝使用 ",,,製造商應提供安全設置指引，過程應最少人工介入並自動達成安全配置。,The verdict PASS is assigned if:        • the manufacturer provides clear guidelines for users on how to securely set up their devices.         The verdict FAIL is assigned otherwise.
5.12-3,R,,製造者宜提供使用者有關如何核對其裝置是否安全設置之指引。,"注意：透過正確解決使用者介面的複雜性和不良設計，可以減少甚至有時消除由消費者困惑或錯誤配置引起的安全問題。向用戶提供有關如何安全配置設備的清晰指導也可以減少他們面臨威脅的機會。
注意： 一般情況下，安全設定設備的平均開銷高於檢查設備是否安全設定的平均開銷。從流程的角度來看，安全設定的檢查很大程度上可以由製造商透過與設備遠端通訊的自動化流程來進行。這種自動化過程的一部分可能包括驗證設備建立安全通訊通道的能力。

問題：
1. 製造商是否會提供使用者如何檢查其設備是否安全設定的指導？","A: 設備出廠的預設值已經預設為NAT模式, 使用者直接使用即可擁有基本的安全性. 使用介面都使用精簡方式 引導使用者安裝使用 ",,,製造商應提供指引，讓用戶核對其設備是否安全設置。,The verdict PASS is assigned if:        • the publication of user guidance for secure configuration is understandable and comprehensible for a user with         limited technical knowledge.         The verdict FAIL is assigned otherwise.
5.13-1,M,,消費者物聯網設備軟體應驗證通過使用者介面或通過應用程式介面（API）或在服務和設備中的網路之間傳輸的資料輸入。,透過不同類型的介面傳輸的格式不正確的資料或代碼可能會破壞系統。攻擊者或測試人員可以使用模糊器等自動化工具來利用由於不驗證資料而出現的潛在漏洞和弱點。範例：設備接收到的資料不是預期類型，例如可執行程式碼而不是使用者輸入的文字。 設備上的軟體已編寫為對輸入進行參數化或“轉義”，從而防止運行此程式碼。例如：溫度感測器接收到超出範圍的數據，而不是嘗試處理此輸入，而是識別出它超出了可能的範圍並被丟棄，並在遙測中捕獲事件。問題：1. 如何確保消費者物聯網設備軟體透過以下方法之一驗證資料輸入？A) 使用者介面。B) 透過應用程式介面 (API) 傳輸。C) 服務與設備中的網路之間,"本機Web管理介面和API將驗證輸入格式以防止注入。
韌體在開發過程中也進行了第三方黑盒測試，包括 API 注入測試。",,,設備軟體應驗證通過用戶介面或API的數據輸入。,The verdict PASS is assigned if:        • the software verifies the data input through user interface or through application programming interface (API) or during transmission over the network between services and the device.         The verdict FAIL is assigned otherwise.
6.1,M,,製造商應向消費者提供清晰透明的資訊，說明每個設備和服務所處理的個人資料內容、使用方式、處理者以及目的。這也適用於可能參與的第三方，包括廣告商。,許多消費者物聯網設備都會處理個人資料。 預計製造商將在消費性物聯網設備中提供支援保護此類個人資料的功能。問題：1. 製造商如何提供消費者清晰透明的個人資料資訊？A) 處理哪些個人資料？B) 如何使用個人資料？C) 個人資料被誰使用？D) 個人資料的使用目的是什麼？2. 如何確保每台設備都做到這一點？3. 如何確保每項服務都能做到這一點？4. 如果涉及第三方，包括廣告商，如何確保這一點？,設備本身並無存儲任何除了登入帳號或連線上網之外的任何資訊,,,製造商應向消費者說明每個設備和服務處理的個人資料內容、使用方式和目的，包括參與的第三方。,"The verdict PASS is assigned if:        • the information about processing personal data can be obtained as described; and        • the obtained information about processing personal data match their description; and        • the personal data being processed is clearly and transparently described; and        • it is clearly and transparently described how personal data is being used, by whom, and for what purposes.        The verdict FAIL is assigned otherwise."
6.2, MC(7),,處理個人資料之依據係消費者的同意，應以有效方式取得此同意。,"注意：「以有效方式」取得同意通常涉及讓消費者自由、明顯和明確地選擇其個人資料是否可用於特定目的。

問題：
如果在消費者同意的基礎上處理個人資料：
1. 如何有效地獲得該同意？",,,,處理個人資料需取得消費者同意，並以有效方式取得。,"The verdict PASS is assigned if:        • obtaining consent ""in a valid way"" normally involves giving consumers a free, obvious and explicit opt-in choice of whether their personal data is used for a specified purpose.         The verdict FAIL is assigned otherwise."
6.3,M,,同意處理其個人資料的消費者有權隨時撤回其個人資料。,注意：消費者希望能夠透過適當配置物聯網設備和服務功能來保護自己的隱私。問題：1. 同意處理其個人資料的消費者如何隨時能撤回？ ,D-Link 除了登入的帳號密碼之外，不會存儲有關個人隱私資料。,,,消費者有權隨時撤回其個人資料處理的同意。,"The verdict PASS is assigned if:        • the information about revocation of consent can be obtained as described; and        • the obtained information about revocation of consent match their description; and        • the revocation of consent is clearly and transparently described; and        • it is clearly and transparently described how revocation of consent is being used, by whom, and for what purposes.        The verdict FAIL is assigned otherwise."
6.4,RC(6),,若由消費者 IoT 裝置及服務蒐集遙測資料，則宜將個人資料之處理保持於預期功能性所必要的最低限度。,"問題：
如果遙測資料是從消費者物聯網設備和服務收集的：
1. 個人資料的處理是否會維持在預期功能所需的最低限度？",D-Link 除了登入的帳號密碼之外，不會存儲有關個人隱私資料。,,,處理個人資料應保持在最小必要範圍內。,The verdict PASS is assigned if:        • the processing of personal data is kept to the minimum extent necessary for the intended functionality.         The verdict FAIL is assigned otherwise.
6.5, MC(6),,若由消費者 IoT 裝置及服務中蒐集遙測資料，應向消費者提供有關蒐集哪些遙測資料、如何利用、利用對象及利用目的之資訊。,"問題：
如果正在收集遙測數據：
對於從消費者物聯網設備和服務收集的遙測數據，是否會向消費者提供以下資訊：
1. 收集哪些遙測資料？
2. 如何使用遙測資料？
3. 遙測資料由誰使用？
4. 遙測資料的用途是什麼？",在帳戶建立和裝置註冊過程中，所有可能透過雲端服務收集的資料都會被充分了解。 D-Link 入口網站自 2019 年起已取得 TRUSTe 憑證。,,,製造商應向消費者提供蒐集哪些遙測資料、如何利用、利用對象及利用目的的資訊。,"The verdict PASS is assigned if:        • the information about the collection of personal data, the use, the purpose of use and the retention period of the personal data is provided to the consumer.         The verdict FAIL is assigned otherwise."
